screenshot_id,captured_at_local,source_order,team_a,team_b,market_type,selection,selection_side,line,price,probability_source,market_no_vig_probability,model_ev,positive_probability,non_loss_probability,full_loss_probability,low_score_density_le_2,high_score_density_ge_4,team_a_win_probability,draw_probability,team_b_win_probability,team_a_rating_std_log_xg,team_b_rating_std_log_xg,most_likely_score,strategy_tier,risk_flags,strategy_reasons
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T18:00:00+08:00,30,Scotland,Morocco,asian_handicap,Scotland +0.5/1,team_a,0.75,0.92,data/processed/match_robust_score_probabilities.csv,0.5052,-0.2161,0.3442,0.3442,0.4098,0.4751,0.3094,0.139608,0.204591,0.655800,0.1797,0.1492,0-1,C,underdog_handicap_cap;underdog_blowout_tail;below_market_probability,
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T18:00:00+08:00,30,Scotland,Morocco,asian_handicap,Morocco -0.5/1,team_b,-0.75,0.96,data/processed/match_robust_score_probabilities.csv,0.4948,0.1673,0.6558,0.6558,0.3442,0.4751,0.3094,0.139608,0.204591,0.655800,0.1797,0.1492,0-1,A,,positive_model_ev;strong_non_loss_profile;favorite_direction_supported
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T18:00:00+08:00,30,Scotland,Morocco,total,Over 2/2.5,over,2.25,0.98,data/processed/match_robust_score_probabilities.csv,0.4884,0.1566,0.5249,0.5249,0.2404,0.4751,0.3094,0.139608,0.204591,0.655800,0.1797,0.1492,0-1,C,over_low_score_density,positive_model_ev
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T18:00:00+08:00,30,Scotland,Morocco,total,Under 2/2.5,under,2.25,0.89,data/processed/match_robust_score_probabilities.csv,0.5116,-0.2065,0.4751,0.4751,0.5249,0.4751,0.3094,0.139608,0.204591,0.655800,0.1797,0.1492,0-1,C,high_full_loss_probability;below_market_probability,
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T20:30:00+08:00,31,Brazil,Haiti,asian_handicap,Brazil -2.5,team_a,-2.5,0.86,data/processed/match_robust_score_probabilities.csv,0.5181,-0.7605,0.1288,0.1288,0.8712,0.4204,0.3631,0.502337,0.230833,0.266830,0.1436,0.1727,1-1,C,high_full_loss_probability;below_market_probability,
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T20:30:00+08:00,31,Brazil,Haiti,asian_handicap,Haiti +2.5,team_b,2.5,1.00,data/processed/match_robust_score_probabilities.csv,0.4819,0.7425,0.8712,0.8712,0.1288,0.4204,0.3631,0.502337,0.230833,0.266830,0.1436,0.1727,1-1,B,underdog_handicap_cap,positive_model_ev;strong_non_loss_profile
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T20:30:00+08:00,31,Brazil,Haiti,total,Over 3.5,over,3.5,0.84,data/processed/match_robust_score_probabilities.csv,0.5208,-0.3320,0.3631,0.3631,0.6369,0.4204,0.3631,0.502337,0.230833,0.266830,0.1436,0.1727,1-1,C,over_low_score_density;high_full_loss_probability;below_market_probability,
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T20:30:00+08:00,31,Brazil,Haiti,total,Under 3.5,under,3.5,1.00,data/processed/match_robust_score_probabilities.csv,0.4792,0.2739,0.6369,0.6369,0.3631,0.4204,0.3631,0.502337,0.230833,0.266830,0.1436,0.1727,1-1,A,,positive_model_ev;strong_non_loss_profile;high_total_under_buffer
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T23:00:00+08:00,32,Turkiye,Paraguay,asian_handicap,Turkiye -0.5,team_a,-0.5,1.02,data/processed/match_robust_score_probabilities.csv,0.4794,-0.0489,0.4708,0.4708,0.5292,0.4530,0.3306,0.470827,0.241646,0.287527,0.1473,0.1673,1-1,C,high_full_loss_probability,
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T23:00:00+08:00,32,Turkiye,Paraguay,asian_handicap,Paraguay +0.5,team_b,0.5,0.86,data/processed/match_robust_score_probabilities.csv,0.5206,-0.0157,0.5292,0.5292,0.4708,0.4530,0.3306,0.470827,0.241646,0.287527,0.1473,0.1673,1-1,C,underdog_handicap_cap,
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T23:00:00+08:00,32,Turkiye,Paraguay,total,Over 2/2.5,over,2.25,0.84,data/processed/match_robust_score_probabilities.csv,0.5245,0.1206,0.5470,0.5470,0.2246,0.4530,0.3306,0.470827,0.241646,0.287527,0.1473,0.1673,1-1,C,over_low_score_density,positive_model_ev
2d0a1a20e77df65a6b572bdcb2da594b,2026-06-19T23:00:00+08:00,32,Turkiye,Paraguay,total,Under 2/2.5,under,2.25,1.03,data/processed/match_robust_score_probabilities.csv,0.4755,-0.1980,0.4530,0.4530,0.5470,0.4530,0.3306,0.470827,0.241646,0.287527,0.1473,0.1673,1-1,C,high_full_loss_probability,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T13:00:00+08:00,33,Netherlands,Sweden,asian_handicap,Netherlands -0.5/1,team_a,-0.75,0.88,data/processed/match_robust_score_probabilities.csv,0.5167,-0.1311,0.5133,0.5133,0.4867,0.3802,0.4038,0.513314,0.221893,0.264793,0.1328,0.1555,1-1,C,,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T13:00:00+08:00,33,Netherlands,Sweden,asian_handicap,Sweden +0.5/1,team_b,0.75,1.01,data/processed/match_robust_score_probabilities.csv,0.4833,0.0874,0.4867,0.4867,0.2949,0.3802,0.4038,0.513314,0.221893,0.264793,0.1328,0.1555,1-1,C,underdog_handicap_cap;underdog_blowout_tail,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T13:00:00+08:00,33,Netherlands,Sweden,total,Over 2.5/3,over,2.75,0.82,data/processed/match_robust_score_probabilities.csv,0.5309,0.0395,0.6198,0.6198,0.3802,0.3802,0.4038,0.513314,0.221893,0.264793,0.1328,0.1555,1-1,C,,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T13:00:00+08:00,33,Netherlands,Sweden,total,Under 2.5/3,under,2.75,1.06,data/processed/match_robust_score_probabilities.csv,0.4691,-0.1088,0.3802,0.3802,0.4038,0.3802,0.4038,0.513314,0.221893,0.264793,0.1328,0.1555,1-1,C,under_high_score_tail;below_market_probability,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T16:00:00+08:00,34,Germany,Ivory Coast,asian_handicap,Germany -1,team_a,-1,0.83,data/processed/match_robust_score_probabilities.csv,0.5296,-0.2607,0.2789,0.5078,0.4922,0.4510,0.3314,0.507815,0.236403,0.255782,0.1241,0.1610,1-1,C,below_market_probability,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T16:00:00+08:00,34,Germany,Ivory Coast,asian_handicap,Ivory Coast +1,team_b,1,1.06,data/processed/match_robust_score_probabilities.csv,0.4704,0.2428,0.4922,0.7211,0.2789,0.4510,0.3314,0.507815,0.236403,0.255782,0.1241,0.1610,1-1,B,underdog_handicap_cap,positive_model_ev;strong_non_loss_profile
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T16:00:00+08:00,34,Germany,Ivory Coast,total,Over 3,over,3,0.96,data/processed/match_robust_score_probabilities.csv,0.4948,-0.1329,0.3314,0.5490,0.4510,0.4510,0.3314,0.507815,0.236403,0.255782,0.1241,0.1610,1-1,C,over_low_score_density;below_market_probability,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T16:00:00+08:00,34,Germany,Ivory Coast,total,Under 3,under,3,0.92,data/processed/match_robust_score_probabilities.csv,0.5052,0.0836,0.4510,0.6686,0.3314,0.4510,0.3314,0.507815,0.236403,0.255782,0.1241,0.1610,1-1,B,below_market_probability,strong_non_loss_profile
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T20:00:00+08:00,35,Ecuador,Curacao,asian_handicap,Ecuador -2/2.5,team_a,-2.25,0.94,data/processed/match_robust_score_probabilities.csv,0.4987,-0.7096,0.1112,0.1112,0.7396,0.5178,0.2717,0.495965,0.251685,0.252350,0.1616,0.1852,1-0,C,high_full_loss_probability;below_market_probability,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T20:00:00+08:00,35,Ecuador,Curacao,asian_handicap,Curacao +2/2.5,team_b,2.25,0.93,data/processed/match_robust_score_probabilities.csv,0.5013,0.6460,0.8888,0.8888,0.1112,0.5178,0.2717,0.495965,0.251685,0.252350,0.1616,0.1852,1-0,B,underdog_handicap_cap,positive_model_ev;strong_non_loss_profile
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T20:00:00+08:00,35,Ecuador,Curacao,total,Over 3,over,3,0.91,data/processed/match_robust_score_probabilities.csv,0.5052,-0.2706,0.2717,0.4822,0.5178,0.5178,0.2717,0.495965,0.251685,0.252350,0.1616,0.1852,1-0,C,over_low_score_density;high_full_loss_probability;below_market_probability,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T20:00:00+08:00,35,Ecuador,Curacao,total,Under 3,under,3,0.95,data/processed/match_robust_score_probabilities.csv,0.4948,0.2202,0.5178,0.7283,0.2717,0.5178,0.2717,0.495965,0.251685,0.252350,0.1616,0.1852,1-0,A,,positive_model_ev;strong_non_loss_profile
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T23:59:00+08:00,36,Tunisia,Japan,asian_handicap,Tunisia +1,team_a,1,0.83,data/processed/match_robust_score_probabilities.csv,0.5296,0.0676,0.4539,0.6908,0.3091,0.4695,0.3148,0.221186,0.232740,0.546074,0.1668,0.1491,0-1,C,underdog_handicap_cap;underdog_blowout_tail;below_market_probability,strong_non_loss_profile
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T23:59:00+08:00,36,Tunisia,Japan,asian_handicap,Japan -1,team_b,-1,1.06,data/processed/match_robust_score_probabilities.csv,0.4704,-0.1262,0.3091,0.5461,0.4539,0.4695,0.3148,0.221186,0.232740,0.546074,0.1668,0.1491,0-1,C,below_market_probability,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T23:59:00+08:00,36,Tunisia,Japan,total,Over 2/2.5,over,2.25,0.85,data/processed/match_robust_score_probabilities.csv,0.5232,0.0981,0.5305,0.5305,0.2362,0.4695,0.3148,0.221186,0.232740,0.546074,0.1668,0.1491,0-1,C,over_low_score_density,
d3bdde1a15563c8dcc599932c73a3cfa,2026-06-20T23:59:00+08:00,36,Tunisia,Japan,total,Under 2/2.5,under,2.25,1.03,data/processed/match_robust_score_probabilities.csv,0.4768,-0.1671,0.4695,0.4695,0.5305,0.4695,0.3148,0.221186,0.232740,0.546074,0.1668,0.1491,0-1,C,high_full_loss_probability,
