source_order,group,date_china,time_china,team_a,team_b,team_a_expected_goals,team_b_expected_goals,total_expected_goals,team_a_win_probability,draw_probability,team_b_win_probability,over_2_5_probability,under_2_5_probability,most_likely_score,most_likely_score_probability,captured_probability_mass,team_a_rating_std_log_xg,team_b_rating_std_log_xg,simulation_draws,simulation_seed
46,L,2026-06-24,04:00,England,Ghana,2.036,0.739,2.776,0.673163,0.199102,0.127735,0.523222,0.476778,1-0,0.128075,0.999555,0.1156,0.1844,2500,20260620
47,L,2026-06-24,07:00,Panama,Croatia,1.255,1.758,3.013,0.276309,0.232697,0.490994,0.574857,0.425143,1-1,0.104708,0.999785,0.2076,0.1446,2500,20260620
48,K,2026-06-24,10:00,Colombia,DR Congo,1.477,1.278,2.755,0.419801,0.252947,0.327252,0.515001,0.484999,1-1,0.116653,0.999920,0.1588,0.1617,2500,20260620
49,B,2026-06-25,03:00,Switzerland,Canada,1.489,1.467,2.956,0.384127,0.243997,0.371875,0.561683,0.438317,1-1,0.110755,0.999889,0.1459,0.1588,2500,20260620
50,B,2026-06-25,03:00,Bosnia and Herzegovina,Qatar,1.330,1.032,2.361,0.434410,0.274428,0.291162,0.420016,0.579984,1-0,0.126216,0.999963,0.1772,0.2079,2500,20260620
51,C,2026-06-25,06:00,Morocco,Haiti,1.779,1.091,2.870,0.532373,0.233394,0.234234,0.540699,0.459301,1-1,0.107393,0.999781,0.1492,0.1727,2500,20260620
52,C,2026-06-25,06:00,Scotland,Brazil,0.936,2.022,2.958,0.170450,0.208638,0.620912,0.562761,0.437239,0-1,0.107034,0.999497,0.1797,0.1436,2500,20260620
53,A,2026-06-25,09:00,South Africa,South Korea,1.235,1.536,2.770,0.306807,0.249323,0.443870,0.521895,0.478105,1-1,0.114532,0.999899,0.1758,0.1617,2500,20260620
54,A,2026-06-25,09:00,Czechia,Mexico,1.338,1.514,2.851,0.340078,0.248230,0.411693,0.538749,0.461251,1-1,0.113780,0.999906,0.1528,0.1601,2500,20260620
55,E,2026-06-26,04:00,Curacao,Ivory Coast,1.136,1.658,2.794,0.262256,0.242692,0.495052,0.523564,0.476436,1-1,0.111652,0.999860,0.1852,0.1610,2500,20260620
56,E,2026-06-26,04:00,Ecuador,Germany,1.062,1.633,2.696,0.247762,0.246296,0.505941,0.502289,0.497711,1-1,0.114084,0.999899,0.1616,0.1241,2500,20260620
57,F,2026-06-26,07:00,Japan,Sweden,1.827,1.212,3.039,0.517057,0.228675,0.254269,0.579608,0.420392,1-1,0.103715,0.999729,0.1491,0.1555,2500,20260620
58,F,2026-06-26,07:00,Tunisia,Netherlands,1.135,1.877,3.012,0.231406,0.224605,0.543989,0.576258,0.423742,1-1,0.102252,0.999714,0.1668,0.1328,2500,20260620
59,D,2026-06-26,10:00,Paraguay,Australia,1.283,1.402,2.685,0.344663,0.256622,0.398715,0.503068,0.496932,1-1,0.118468,0.999936,0.1673,0.1616,2500,20260620
60,D,2026-06-26,10:00,Turkiye,United States,1.770,1.506,3.276,0.441958,0.227605,0.330437,0.629322,0.370678,1-1,0.098646,0.999727,0.1473,0.1532,2500,20260620
61,I,2026-06-27,03:00,Norway,France,1.608,1.566,3.174,0.392064,0.234068,0.373868,0.611621,0.388379,1-1,0.103187,0.999832,0.1374,0.1238,2500,20260620
62,I,2026-06-27,03:00,Senegal,Iraq,1.890,0.914,2.804,0.601225,0.219817,0.178959,0.530105,0.469895,1-0,0.115620,0.999686,0.1400,0.1784,2500,20260620
63,H,2026-06-27,08:00,Cape Verde,Saudi Arabia,1.314,1.393,2.707,0.355931,0.255810,0.388258,0.504387,0.495613,1-1,0.116972,0.999918,0.2158,0.1763,2500,20260620
64,H,2026-06-27,08:00,Uruguay,Spain,0.868,1.948,2.816,0.162087,0.212926,0.624988,0.533195,0.466805,0-1,0.117809,0.999679,0.1666,0.1102,2500,20260620
65,G,2026-06-27,11:00,Egypt,Iran,1.232,1.410,2.641,0.330534,0.259598,0.409868,0.489006,0.510994,1-1,0.119739,0.999941,0.1609,0.1636,2500,20260620
66,G,2026-06-27,11:00,New Zealand,Belgium,1.286,1.929,3.215,0.256580,0.220906,0.522515,0.615239,0.384761,1-1,0.097832,0.999642,0.1707,0.1375,2500,20260620
67,L,2026-06-28,05:00,Croatia,Ghana,1.790,1.131,2.921,0.527125,0.231252,0.241623,0.555593,0.444407,1-1,0.105778,0.999776,0.1446,0.1844,2500,20260620
68,L,2026-06-28,05:00,Panama,England,0.863,2.004,2.867,0.155876,0.207252,0.636873,0.543282,0.456718,0-1,0.116222,0.999588,0.2076,0.1156,2500,20260620
69,K,2026-06-28,07:30,Colombia,Portugal,1.349,1.706,3.055,0.303051,0.235571,0.461378,0.582293,0.417707,1-1,0.106285,0.999834,0.1588,0.1373,2500,20260620
70,K,2026-06-28,07:30,DR Congo,Uzbekistan,1.322,1.221,2.543,0.392450,0.266127,0.341423,0.465773,0.534227,1-1,0.122545,0.999959,0.1617,0.1679,2500,20260620
71,J,2026-06-28,10:00,Algeria,Austria,1.397,1.454,2.851,0.362363,0.249359,0.388278,0.538281,0.461719,1-1,0.114330,0.999916,0.1543,0.1444,2500,20260620
72,J,2026-06-28,10:00,Jordan,Argentina,0.836,2.072,2.908,0.142970,0.200294,0.656736,0.549897,0.450103,0-2,0.115989,0.999462,0.1795,0.1310,2500,20260620
